Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Jahmi'us Ramsey,SAC,19,190,Texas Tech,USA,2020,2,43,5,1.4,0.8,0.2,26.4,0.0,22.2,13.3,70.0,6.3,75
Jahlil Okafor,DET,25,270,Duke,USA,2015,1,3,19,4.4,2.1,0.6,-15.6,6.1,11.6,15.8,63.3,9.8,82
Jae'Sean Tate,HOU,25,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,61,11.0,5.3,2.3,-3.3,6.2,11.4,15.3,58.3,11.6,76
Jae Crowder,PHX,30,235,Marquette,USA,2012,2,34,55,9.8,4.8,2.1,6.0,2.0,15.0,15.1,56.7,10.4,78
Jaden McDaniels,MIN,20,185,Washington,USA,2020,1,28,55,6.8,3.7,1.1,-4.3,3.2,12.1,12.2,54.5,6.3,81
Jabari Parker,BOS,26,245,Duke,USA,2014,1,2,8,4.9,3.0,0.9,-6.7,6.4,16.7,17.1,56.1,11.7,80
JaVale McGee,DEN,33,270,Nevada-Reno,USA,2008,1,18,38,7.6,5.1,0.9,-6.2,10.1,22.9,23.4,55.4,10.6,84
JaMychal Green,DEN,30,227,Alabama,USA,Undrafted,Undrafted,Undrafted,48,8.1,4.9,0.8,5.0,7.3,18.5,17.3,60.2,6.0,80
JaKarr Sampson,IND,28,214,St. John's,USA,Undrafted,Undrafted,Undrafted,23,3.7,2.4,0.1,10.5,7.8,15.9,17.2,49.4,1.2,79
Ja Morant,MEM,21,174,Murray State,USA,2019,1,2,52,19.7,3.9,7.3,2.2,2.7,9.0,27.3,54.7,32.3,75
JJ Redick,DAL,36,200,Duke,USA,2006,1,11,38,8.2,1.6,1.2,-2.8,0.6,8.7,18.2,58.4,9.3,75
Ivica Zubac,LAC,24,240,None,Croatia,2016,2,32,63,9.1,7.3,1.2,3.2,12.3,20.0,14.8,68.4,7.6,84
Ish Smith,WAS,32,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,33,5.9,3.2,4.3,1.8,2.2,12.8,15.1,44.9,27.6,72
Isaiah Thomas,NOP,32,185,Washington,USA,2011,2,60,3,7.7,1.3,1.7,6.7,1.9,5.2,27.4,41.2,16.7,69
Isaiah Stewart,DET,19,250,Washington,USA,2020,1,16,60,7.4,6.6,0.9,-0.3,11.3,19.7,14.4,61.0,6.6,80
Isaiah Roby,OKC,23,230,Nebraska-Lincoln,USA,2019,2,45,50,9.0,5.7,1.9,-12.1,6.4,16.7,17.3,56.4,12.7,80
Isaiah Joe,PHI,21,165,Arkansas,USA,2020,2,49,33,3.2,0.9,0.5,0.8,1.7,7.7,15.5,47.3,7.7,76
Isaiah Hartenstein,CLE,22,250,None,Germany,2017,2,43,44,5.1,4.0,1.1,5.3,11.6,21.0,18.3,60.0,13.6,84
Isaac Okoro,CLE,20,225,Auburn,USA,2020,1,5,56,8.4,2.8,1.8,-7.9,3.1,6.2,13.0,51.6,7.9,77
Isaac Bonga,WAS,21,180,None,Germany,2018,2,39,37,2.1,1.8,0.6,-2.9,4.3,10.0,10.1,47.8,7.1,80
Immanuel Quickley,NYK,21,190,Kentucky,USA,2020,1,25,57,11.6,2.2,2.1,6.4,2.1,9.0,24.9,55.6,17.5,75
Iman Shumpert,BKN,30,212,Georgia Tech,USA,2011,1,17,2,1.0,0.5,0.0,-4.3,7.7,0.0,18.5,25.0,0.0,77
Ignas Brazdeikis,PHI,22,221,Michigan,Canada,2019,2,47,5,0.4,0.8,0.2,6.7,5.3,20.0,16.2,20.5,10.0,78
Henry Ellenson,TOR,24,240,Marquette,USA,2016,1,18,2,7.5,6.0,2.5,10.6,6.1,20.5,16.7,47.6,20.8,82
Hassan Whiteside,SAC,31,265,Marshall,USA,2010,2,33,36,8.1,6.0,0.6,-8.1,10.9,26.9,22.7,56.6,5.8,84
Harry Giles III,POR,23,240,Duke,USA,2017,1,20,30,2.9,3.9,0.8,-8.7,8.5,25.4,14.1,50.8,11.1,83
Harrison Barnes,SAC,28,225,North Carolina,USA,2012,1,7,58,16.1,6.6,3.5,-1.8,3.1,15.2,16.9,62.6,12.8,80
Hamidou Diallo,DET,22,202,Kentucky,USA,2018,2,45,47,10.9,4.9,2.0,-8.5,5.0,15.1,21.6,53.0,13.9,77
Greg Whittington,DEN,28,210,Georgetown,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.0,0.0,33.3,0.0,0.0,10.3,0.0,0.0,80
Grayson Allen,MEM,25,198,Duke,USA,2018,1,21,47,11.1,3.3,2.1,0.4,1.4,10.6,16.6,59.2,11.3,76
Grant Williams,BOS,22,236,Tennessee,USA,2019,1,22,53,4.4,2.9,1.0,-0.6,4.1,11.0,11.3,53.5,7.4,78
Grant Riller,CHA,24,190,College of Charleston,USA,2020,2,56,5,2.8,0.0,0.6,-2.3,0.0,0.0,21.7,77.8,37.5,74
Gorgui Dieng,SAS,31,252,Louisville,Senegal,2013,1,21,29,6.7,3.9,1.1,-4.3,6.9,18.6,16.2,67.1,11.6,82
Gordon Hayward,CHA,31,225,Butler,USA,2010,1,9,44,19.6,5.9,4.1,0.7,2.4,14.3,23.5,58.4,18.9,79
Goran Dragic,MIA,34,190,None,Slovenia,2008,2,45,41,12.9,3.5,4.4,0.6,1.8,11.3,23.4,54.9,27.5,75
