Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Onyeka Okongwu,ATL,20,8-Jun,235,Southern California,USA,2020,1,6,40,3.9,3,0.2,-9.2,8.80%,18.40%,13.50%,62.50%,3.20%
Obi Toppin,NYK,23,9-Jun,220,Dayton,USA,2020,1,8,52,4,2.3,0.5,1.6,3.70%,15.80%,15.70%,56.30%,6.50%
OG Anunoby,TOR,23,7-Jun,232,Indiana,United Kingdo...,2017,1,23,40,15.5,5.6,2,4,3.90%,12.50%,18.90%,60.90%,9.10%
Norvel Pelle,NYK,28,10-Jun,231,Iona,USA,Undrafted,Undrafted,Undrafted,8,2,1.9,0.1,13.1,9.30%,16.90%,12.90%,54.60%,2.30%
Norman Powell,POR,27,3-Jun,215,UCLA,USA,2015,2,46,58,18.9,3,1.9,0.1,1.80%,7.80%,22.70%,62.40%,9.30%
Noah Vonleh,BKN,25,10-Jun,257,Indiana,USA,2014,1,9,4,0,0.3,0.3,-63.2,0.00%,14.30%,21.70%,0.00%,14.30%
Nikola Vucevic,CHI,30,11-Jun,260,Southern California,Montenegro,2011,1,16,62,23.9,11.3,3.7,-7.9,5.70%,28.50%,29.10%,57.50%,20.50%
Nikola Jokic,DEN,26,11-Jun,284,None,Serbia,2014,2,41,61,26.2,11,8.7,8,8.70%,23.50%,29.00%,64.50%,38.30%
Nicolo Melli,DAL,30,9-Jun,236,None,Italy,Undrafted,Undrafted,Undrafted,35,2.3,2.7,1,4,4.20%,17.10%,10.90%,40.10%,10.80%
Nicolas Claxton,BKN,22,11-Jun,215,Georgia,USA,2019,2,31,25,6.6,5,1.1,13.3,7.80%,18.10%,14.10%,58.50%,8.30%
Nicolas Batum,LAC,32,8-Jun,230,None,France,2008,1,25,59,8.2,4.9,2.3,9.6,3.00%,14.40%,11.60%,61.20%,10.60%
Nico Mannion,GSW,20,2-Jun,190,Arizona,Italy,2020,2,48,24,4.3,1.4,2.2,-9.2,1.00%,10.50%,19.30%,48.10%,25.50%
Nickeil Alexander-Walker,NOP,22,6-Jun,205,Virginia Tech,Canada,2019,1,17,41,10.2,3.1,2,-2.9,1.10%,13.50%,22.10%,52.40%,14.50%
Nick Richards,CHA,23,Jul-00,245,Kentucky,Jamaica,2020,2,42,17,0.9,0.5,0.1,-10,2.90%,9.70%,10.80%,58.40%,5.70%
Nerlens Noel,NYK,27,11-Jun,220,Kentucky,USA,2013,1,6,55,5.1,6.5,0.8,1.4,9.80%,16.90%,9.40%,63.70%,4.40%
Nemanja Bjelica,MIA,32,10-Jun,234,None,Serbia,2010,2,35,35,6,3.3,1.7,-8.1,4.60%,17.90%,17.80%,53.70%,15.30%
Naz Reid,MIN,21,9-Jun,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,60,11.1,4.5,1.1,-10.1,5.10%,17.30%,21.80%,60.10%,9.10%
Nathan Knight,ATL,23,10-Jun,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,28,3.6,2,0.2,-5.7,9.10%,14.60%,20.60%,50.60%,4.30%
Nate Hinton,DAL,21,5-Jun,210,Houston,USA,Undrafted,Undrafted,Undrafted,14,1.5,0.4,0.3,-21.5,1.80%,7.30%,21.70%,46.40%,16.70%
Nate Darling,CHA,22,6-Jun,200,Delaware,Canada,Undrafted,Undrafted,Undrafted,6,1.5,0.2,0.2,-56,3.60%,0.00%,14.50%,54.10%,14.30%
Nassir Little,POR,21,5-Jun,220,North Carolina,USA,2019,1,25,40,4.9,2.9,0.5,-3.2,4.90%,14.90%,13.30%,59.90%,4.90%
Naji Marshall,NOP,23,7-Jun,220,Xavier,USA,Undrafted,Undrafted,Undrafted,21,5.9,3.7,2.6,0.8,1.40%,16.80%,14.20%,49.30%,17.30%
Myles Turner,IND,25,11-Jun,250,Texas-Austin,USA,2015,1,11,47,12.6,6.5,1,1.3,4.30%,15.90%,16.70%,59.90%,4.70%
