#,Player,Team,GP_x,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP_y,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT,Position,SALARY
14,Javonte Green,BOS,25,13.8,1.6,2.8,0.549,0.3,0.9,0.318,0.8,1.2,0.667,0.5,1.3,0.8,1.3,2.1,0.4,0.7,0.1,4.2,CHI,27,205,Radford,USA,Undrafted,Undrafted,Undrafted,31,3.5,1.9,0.4,-5.0,5.7,10.3,12.0,59.2,4.8,76,G,1517981
21,Javonte Green,CHI,6,5.5,0.2,1.2,0.143,0.0,0.2,0.0,0.3,0.3,1.0,0.7,0.5,0.3,0.8,1.2,0.3,0.3,0.3,0.7,CHI,27,205,Radford,USA,Undrafted,Undrafted,Undrafted,31,3.5,1.9,0.4,-5.0,5.7,10.3,12.0,59.2,4.8,76,G,1517981
15,Carsen Edwards,BOS,25,8.5,1.6,3.4,0.453,0.5,1.8,0.283,0.3,0.4,0.778,0.2,0.9,0.1,0.8,0.9,0.4,0.2,0.0,3.9,BOS,23,200,Purdue,USA,2019,2,33,25,3.9,0.9,0.4,-7.3,1.4,8.8,18.5,54.5,7.8,71,PG,1517981
16,Luke Kornet,BOS,11,11.9,1.5,3.5,0.421,0.6,2.1,0.304,0.1,0.2,0.5,0.2,0.9,0.5,1.9,2.5,0.9,0.0,1.0,3.6,BOS,25,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,24,2.8,1.8,0.6,6.6,3.2,14.5,13.2,48.8,8.5,86,C,2250000
16,Luke Kornet,CHI,13,7.2,0.7,2.1,0.333,0.5,1.8,0.261,0.2,0.3,0.5,0.1,0.1,0.1,1.1,1.2,0.3,0.2,0.5,2.0,BOS,25,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,24,2.8,1.8,0.6,6.6,3.2,14.5,13.2,48.8,8.5,86,C,2250000
17,Aaron Nesmith,BOS,35,12.6,1.1,3.1,0.374,0.7,2.2,0.342,0.4,0.5,0.722,0.5,1.4,0.5,1.8,2.2,0.4,0.3,0.2,3.4,BOS,21,215,Vanderbilt,USA,2020,1,14,35,3.4,2.2,0.4,1.7,3.5,13.5,12.6,51.8,4.0,77,SF,3458400
18,Tremont Waters,BOS,18,7.1,0.8,2.3,0.366,0.4,1.0,0.389,0.7,0.8,0.929,0.8,0.4,0.2,0.4,0.6,2.0,0.6,0.0,2.8,BOS,23,175,Louisiana State,USA,2019,2,51,18,2.8,0.6,2.0,-10.0,2.4,5.7,20.3,53.0,43.4,70,PG,0
19,Tacko Fall,BOS,15,6.7,1.2,1.6,0.75,0.0,0.0,0.0,0.3,0.9,0.308,0.3,1.1,0.7,1.8,2.5,0.1,0.1,0.8,2.7,BOS,25,311,Central Florida,Senegal,Undrafted,Undrafted,Undrafted,15,2.7,2.5,0.1,13.5,12.2,23.5,14.0,67.3,2.5,89,C,0
20,Romeo Langford,BOS,12,15.1,0.8,2.8,0.294,0.3,1.0,0.333,0.2,0.2,1.0,0.6,1.2,0.8,1.2,2.1,0.7,0.3,0.2,2.2,BOS,21,216,Indiana,USA,2019,1,14,12,2.3,2.1,0.7,-10.1,5.0,7.9,9.7,38.2,6.7,76,SG,3631200
1,Kevin Durant,BRK,25,32.5,9.4,17.3,0.544,2.5,5.4,0.467,6.2,7.1,0.87,3.6,2.0,0.4,6.3,6.7,5.2,0.6,1.3,27.5,BKN,32,240,Texas-Austin,USA,2007,1,2,25,27.5,6.7,5.2,10.9,1.2,17.7,30.9,67.4,23.8,82,PF,40108950
